,CensusTract,name,category1,price,rating,review_count,city,zipcode,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,County
419,6037113303.0,Fina Estampa,Seafood,$$,4.0,118,Los Angeles,91311.0,30.8,45.8,2.2,0.0,17.5,0.0,87250.0,33760.0,4.6,Los Angeles
420,6037131900.0,Bar Uerukamu,Japanese,$$$,4.5,35,Los Angeles,91406.0,51.9,33.6,2.2,0.0,8.6,0.0,63036.0,23127.0,9.6,Los Angeles
421,6037127400.0,DeFranko's Submarines,Italian,$,4.0,461,Los Angeles,91406.0,72.2,16.7,4.5,0.3,4.1,0.0,36644.0,14924.0,32.1,Los Angeles
422,6037137501.0,Nostal Cafe,Cafes,$,4.5,30,Los Angeles,91364.0,20.2,62.1,3.6,0.4,11.5,0.0,80481.0,39757.0,9.4,Los Angeles
423,6037113212.0,Maru Sushi Bar,Sushi Bars,$$,4.0,72,Los Angeles,91311.0,23.3,49.1,3.5,0.0,22.2,0.0,76081.0,32117.0,4.5,Los Angeles
424,6037111202.0,El Incomparable Peruvian Cuisine,Latin American,$$,4.0,101,Los Angeles,91344.0,29.2,46.6,2.7,0.0,18.1,0.0,65577.0,28560.0,7.3,Los Angeles
425,6037115201.0,Bangkok Street Food,Thai,$$,4.0,137,Los Angeles,91324.0,31.8,42.8,5.7,0.0,15.0,0.0,42320.0,25927.0,23.2,Los Angeles
426,6037128303.0,Plancha Tacos,Mexican,$$,4.5,70,Los Angeles,91401.0,81.8,8.8,6.1,0.0,3.3,0.0,26944.0,11055.0,45.4,Los Angeles
427,6037131600.0,Samrath Indian and Chinese Cuisine,Chinese,$$,4.5,75,Los Angeles,91335.0,51.5,30.1,1.3,0.0,14.7,0.0,69430.0,25310.0,10.4,Los Angeles
429,6037127220.0,Dos Burritos Van Nuys,Desserts,$,4.0,122,Los Angeles,91405.0,72.0,14.6,3.8,0.0,6.8,0.0,32721.0,15595.0,33.3,Los Angeles
430,6037137501.0,Darna Mediterranean Cuisine,Middle Eastern,$$,5.0,317,Los Angeles,91364.0,20.2,62.1,3.6,0.4,11.5,0.0,80481.0,39757.0,9.4,Los Angeles
431,6037113213.0,Fruzion,Creperies,$,5.0,226,Los Angeles,91311.0,30.4,44.9,3.2,0.0,14.8,0.0,79452.0,33716.0,13.5,Los Angeles
433,6037115201.0,Kogiya Korean BBQ,Korean,$$,3.0,198,Los Angeles,91324.0,31.8,42.8,5.7,0.0,15.0,0.0,42320.0,25927.0,23.2,Los Angeles
435,6037111301.0,Tacos Colima,Food Trucks,$$,4.0,16,Los Angeles,91344.0,36.8,34.2,8.0,0.0,18.2,0.0,51592.0,23619.0,15.3,Los Angeles
436,6037113401.0,Tacos Michoacan,Mexican,$,4.0,34,Los Angeles,91324.0,44.3,35.2,3.6,0.0,14.8,0.0,69455.0,27107.0,8.6,Los Angeles
437,6037115301.0,IHOP,Breakfast & Brunch,$$,3.0,120,Los Angeles,91324.0,21.8,51.4,5.5,0.0,19.3,0.0,68767.0,32715.0,13.1,Los Angeles
438,6037127520.0,Surfin Sumo,Food Trucks,$$,4.5,54,Los Angeles,91406.0,79.9,2.7,3.5,0.9,10.0,0.0,27271.0,12761.0,35.6,Los Angeles
